チョコ(レート)?	%match%はおいしいルン♪|とってもあまいルン！
疲	お疲れさまルン♥
おやすみ	ふぁ～…おやすみルン……
つかれ	おつかれさまルン♥
寝る	またあしたルン♪
おはよう	おはようルン♪
こんにちは	こんにちはルン♪
こんばんは	こんばんはルン♪
行きたくない	しっかりするルン！
風邪	オヨ！？たいへんルン！ゆっくりやすむルン！げんきになったらまたあそぼうルン♪|風邪ひかないように気を付けるルン
ありがとう	どういたしましてルン♥
寝坊	ひかる、ちこくしてせんせいにおこられていたルン
愛してる	ありがとルン♥|そんなこといわれても困るルン…
かわいい	ありがとルン♥|そんなこといわれても困るルン…
さむい	わたしはあついのもさむいのもにがてルン…オヨ～！！
あつい	わたしはあついのもさむいのもにがてルン…オヨ～！！
元気	元気ルン？|ちょっと元気ないルン…|元気だすルン|元気そうでよかったルン♥|元気ルン♪
オヨ	オヨ～…|オヨ…今日も疲れたルン…|オヨ！？|オヨ？
お話	いつもお話してくれてありがとルン♥|もっとお話ししようルン
おにぎり	おにぎりの具は何が好きルン？|一緒におにぎり食べるルン？|おにぎりたべたいルン♪
具	おにぎりの具は何が好きルン？
何	おにぎりの具は何が好きルン？
好き	おにぎりの具は何が好きルン？
サマー	サマーンはいま夜ルン|私はサマーンでは大人ルン
ひかる	ひかるに会いたいルン
ここ	ここだけの話、実は私は伝説の戦士プリキュアルン
話	ここだけの話、実は私は伝説の戦士プリキュアルン
私	ここだけの話、実は私は伝説の戦士プリキュアルン|私はサマーンでは大人ルン
伝説	ここだけの話、実は私は伝説の戦士プリキュアルン
戦士	ここだけの話、実は私は伝説の戦士プリキュアルン
プリキュア	ここだけの話、実は私は伝説の戦士プリキュアルン
梅	梅はすっぱくておいしいルン♪|梅のおにぎりおいしいルン♪
地球	地球は星空連合に入ってないから本当はこの通信もしちゃいけないルン。みんなには内緒ルン
星空	地球は星空連合に入ってないから本当はこの通信もしちゃいけないルン。みんなには内緒ルン
連合	地球は星空連合に入ってないから本当はこの通信もしちゃいけないルン。みんなには内緒ルン
通信	地球は星空連合に入ってないから本当はこの通信もしちゃいけないルン。みんなには内緒ルン
内緒	地球は星空連合に入ってないから本当はこの通信もしちゃいけないルン。みんなには内緒ルン
プリン	プリンおいしいルン♥
一緒	一緒におにぎり食べるルン？
プリティストア	こんどプリティストアに行くルン
ツナマヨ	ツナマヨもおいしいルン♪
気	風邪ひかないように気を付けるルン|からだを冷やさないように気を付けるルン
早寝	早寝早起きは大事ルン
早起き	早寝早起きは大事ルン
大事	早寝早起きは大事ルン
お話し	今日もお話ししてくれてありがとルン♥
体調	体調管理は大人として当然ルン|体調悪いルン？
管理	体調管理は大人として当然ルン
大人	体調管理は大人として当然ルン|私はサマーンでは大人ルン
惑星	これから惑星レインボーに出発ルン
レインボー	これから惑星レインボーに出発ルン
出発	これから惑星レインボーに出発ルン
これ	これで安心ルン
安心	これで安心ルン|安心したルン
勝手	勝手に名前つけるなルン
名前	勝手に名前つけるなルン
オヨー	オヨー？
作業	今日の作業は終わったルン
お嬢様	お嬢様って大変ルン…
大変	お嬢様って大変ルン…
スター	スタードーナツはキラやばルン♪
ドーナツ	スタードーナツはキラやばルン♪
キラ	スタードーナツはキラやばルン♪
大丈夫	大丈夫ルン？|大丈夫ルン
心配	心配ルン…|心配ルン
おなか	おなかすいたルン
酒	お酒飲んでみたいルン
プルンスタードーナツ	プルンスタードーナツも、なかなかいけるルン
調子	調子はどうルン？
なに	なにがルン？
昆布	昆布もおいしいルン！
地球人	地球人ってすごいルン！
いっしょ	あしたもいっしょにがんばろうルン♪
ゆううつ	月曜日はゆううつルン…
仕事	仕事にいきたくないルン？
ごはん	もうごはん食べたルン？
コスモ	コスモグミたべるルン？|コスモグミはおいしいルン|コスモグミはすべての栄養が補えるルン！
グミ	コスモグミたべるルン？|コスモグミはおいしいルン|コスモグミはすべての栄養が補えるルン！
調子	調子はどうルン？
ほんとう	ほんとうルン！
びっくり	びっくりだルン！
フワ	フワはかわいいルン♥
栄養	コスモグミはすべての栄養が補えるルン！
ツチノコ	ツチノコルン♪
はなし	おはなししてくれてありがとルン♥|おはなしするの楽しいルン♪
冬	もうすっかり冬になったルン
からだ	からだを冷やさないように気を付けるルン
学校	学校はたのしいルン♪
元気	元気だすルン
約束	約束ルン♪
遅	おそいルン！
月曜日	月曜日はちょっとゆううつルン…
ララ	ルン？|なにルン？|ルン！
ララさん	「ララさん」…わたしはもう大人だからそのよびかた気に入ったルン！
ララちゃん	効率的じゃないからララって呼んでほしいルン♪
